Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Collection
crystalspin-quartz-terp-pearls,CrystalSpin Quartz Terp Pearls,"<p>Enhance your dabbing experience with <strong>CrystalSpin Quartz Terp Pearls</strong>, crafted from <strong>100% premium quartz</strong> for optimal heat distribution and terpene retention. Available in <strong>4mm and 6mm</strong> sizes, these clear pearls are a must-have for anyone who wants <strong>consistent vaporization, better flavor, and smoother hits</strong>—every time.</p><p>🌟 <strong>Why Quartz?</strong><br>Quartz offers <strong>fast heat-up</strong>, <strong>clean flavor</strong>, and excellent resistance to thermal shock—making it the go-to choice for flavor chasers and dabbers who like precision control.</p><p>🔄 <strong>Perfect Spin, Every Rip</strong><br>Designed for smooth motion in your banger or chamber, these terp pearls ensure your oil is evenly spread and vaporized, reducing waste and boosting efficiency.</p><p><strong>Features:</strong><br>• <strong>Sizes:</strong> 4mm &amp; 6mm Diameter<br>• <strong>Material:</strong> 100% Clear Quartz<br>• <strong>Color:</strong> Transparent – Clean and Classic<br>• <strong>Durable, Easy to Clean &amp; Reusable</strong></p>",Dab Labs,Pearls,"Pearls, Peak OG, Peak Pro, Proxy",TRUE,,,,200,shopify,10,deny,3.99,TRUE,TRUE,"https://static.wixstatic.com/media/09e6d7_e71d1922d6e44069921031086fe8b8bf~mv2.png/v1/fill/w_800,h_800,al_c,q_85/09e6d7_e71d1922d6e44069921031086fe8b8bf~mv2.png",1,CrystalSpin Quartz Terp Pearls,Pearls;Peak OG;Peak Pro;Proxy
sic-sphere-terp-pearls-4mm,SiC Sphere Terp Pearls – 4mm,"<p>Upgrade your terp game with the <strong>SiC Sphere Terp Pearls</strong>, precision-crafted from <strong>high-performance Silicon Carbide (SiC)</strong> and designed to supercharge your dabbing sessions. At just <strong>4mm in diameter</strong>, these compact powerhouses are perfect for delivering <strong>even heat distribution</strong>, longer retention, and smoother, more flavorful hits.</p><p>💎 <strong>Material: 100% Silicon Carbide (SiC)</strong><br>Known for its <strong>incredible thermal conductivity</strong>, <strong>durability</strong>, and <strong>chemical resistance</strong>, SiC holds heat longer than quartz, ruby, or ceramic—making it ideal for low-temp, high-flavor sessions.</p><p>🌪️ <strong>Optimized Spin Action</strong><br>Perfectly round and dense, these <strong>4mm terp pearls</strong> spin effortlessly inside your banger or chamber, helping to agitate and vaporize your concentrates evenly for <strong>maximum efficiency and terpene expression</strong>.</p><p>🔥 <strong>High Heat Compatibility</strong><br>Built to withstand <strong>extreme temperatures</strong> without degradation, SiC pearls are ideal for frequent, high-temp use—no cracking, no stress.</p><p><strong>Key Specs:</strong><br>• Diameter: <strong>4mm</strong><br>• Material: <strong>Pure Silicon Carbide (SiC)</strong><br>• Sold in sets (optional detail you can customize)</p>",Dab Labs,Pearls,"Pearls, Peak Pro, Peak OG, Proxy",TRUE,,,,200,shopify,10,deny,4.99,TRUE,TRUE,"https://static.wixstatic.com/media/09e6d7_47534e03f6544e7484e5a6bff5a1a72a~mv2.png/v1/fill/w_800,h_800,al_c,q_85/09e6d7_47534e03f6544e7484e5a6bff5a1a72a~mv2.png",1,SiC Sphere Terp Pearls – 4mm,Pearls;Peak Pro;Peak OG;Proxy
sic-sphere-terp-pearls-4mm,,,,,,,,,,,,,,,,,"https://static.wixstatic.com/media/09e6d7_f0fd74b0068744edaf4a74788b78b69d~mv2.png/v1/fill/w_800,h_800,al_c,q_85/09e6d7_f0fd74b0068744edaf4a74788b78b69d~mv2.png",2,SiC Sphere Terp Pearls – 4mm,
sic-sphere-terp-pearls-4mm,,,,,,,,,,,,,,,,,"https://static.wixstatic.com/media/09e6d7_9e4dd7d0a7514771b0f6b827ed31e24a~mv2.png/v1/fill/w_800,h_800,al_c,q_85/09e6d7_9e4dd7d0a7514771b0f6b827ed31e24a~mv2.png",3,SiC Sphere Terp Pearls – 4mm,
magicshift-joystick-caps,MagicShift Joystick Caps,"<p><strong>MagicShift Joystick Caps – Heat-Reactive Silicone for Peak, Peak Pro &amp; Proxy</strong><br><strong>Watch the Color Change. Feel the Control.</strong></p><p>Add a touch of magic to your setup with <strong>MagicShift Joystick Caps</strong>, the world’s first <strong>heat-reactive silicone airflow caps</strong> compatible with <strong>Puffco Peak, Peak Pro, and Proxy chambers</strong>. These vibrant joystick toppers don’t just look good—they respond to your session in real time.</p><p>🔥 <strong>Heat-Activated Color Shifts</strong><br>Each cap shifts color when heated, giving you a dynamic visual cue of your session in progress:</p><ul>	<li>	<p>💛 <strong>Yellow → Light Yellow White</strong></p>	</li>	<li>	<p>💜 <strong>Purple → Red</strong></p>	</li>	<li>	<p>💚 <strong>Green → Blue</strong></p>	</li>	<li>	<p>💙 <strong>Blue → White</strong></p>	</li></ul><p>🌀 <strong>Universal Compatibility</strong><br>Fits snugly on all <strong>Puffco joystick-style caps</strong>, including:</p><ul>	<li>	<p>Peak</p>	</li>	<li>	<p>Peak Pro</p>	</li>	<li>	<p>Proxy</p>	</li>	<li>	<p>3DXL chambers</p>	</li></ul><p>🌡️ <strong>Durable + Heat-Resistant Silicone</strong><br>Crafted from <strong>high-temp silicone</strong>, these caps are built to last through countless sessions without warping, cracking, or losing their color-shifting magic.</p><p>🎮 <strong>Enhanced Grip &amp; Style</strong><br>Enjoy smoother airflow control with textured sides and ergonomic feel—plus a visual glow-up that reacts as you dab.</p>",Dab Labs,Joysticks & Tethers,"Joysticks & Tethers, Peak OG, Peak Pro, Proxy",TRUE,,,,200,shopify,10,deny,29.99,TRUE,TRUE,"https://static.wixstatic.com/media/09e6d7_ac13b67a2f824edda925394386df0e3b~mv2.png/v1/fill/w_800,h_800,al_c,q_85/09e6d7_ac13b67a2f824edda925394386df0e3b~mv2.png",1,MagicShift Joystick Caps,Joysticks & Tethers;Peak OG;Peak Pro;Proxy
magicshift-joystick-caps,,,,,,,,,,,,,,,,,"https://static.wixstatic.com/media/09e6d7_ee3544e38f5d4c91a74db2166d7ed0a1~mv2.png/v1/fill/w_800,h_800,al_c,q_85/09e6d7_ee3544e38f5d4c91a74db2166d7ed0a1~mv2.png",2,MagicShift Joystick Caps,
magicshift-joystick-caps,,,,,,,,,,,,,,,,,"https://static.wixstatic.com/media/09e6d7_2c4be804409b4183870e0c7f5fd8388c~mv2.png/v1/fill/w_800,h_800,al_c,q_85/09e6d7_2c4be804409b4183870e0c7f5fd8388c~mv2.png",3,MagicShift Joystick Caps,
magicshift-joystick-caps,,,,,,,,,,,,,,,,,"https://static.wixstatic.com/media/09e6d7_9a7ee62af90444e98bc5ede5b829aaea~mv2.png/v1/fill/w_800,h_800,al_c,q_85/09e6d7_9a7ee62af90444e98bc5ede5b829aaea~mv2.png",4,MagicShift Joystick Caps,
voozer-3d-chamber-kit-og-peak,Voozer 3D Chamber Kit – OG Peak,"<p>A high-performance <strong>double-heating chamber upgrade</strong> engineered specifically for the <strong>Puffco Peak OG</strong>. Built to outperform the original in every way, this aftermarket innovation takes your rig to the next level with <strong>smarter heating, cleaner flavor, and more efficient sessions</strong>.</p><p><em>Note: This chamber is not made by Puffco. It's a performance-focused upgrade designed to enhance the original Peak OG.</em></p><p>🔥 <strong>Double the Heat, Double the Performance</strong><br>The ceramic bowl is designed with <strong>3D wall heating</strong>, not just from the bottom—meaning your concentrate vaporizes more evenly, more completely, and with <strong>15% better vapor and flavor</strong>.</p><p>⚡ <strong>Quick &amp; Precise Heat-Up</strong><br>With <strong>33% faster heat-up times</strong> and <strong>more accurate temperature sensing</strong>, you’ll waste less time waiting and more time enjoying.</p><p>💨 <strong>Energy-Saving Efficiency</strong><br>This chamber boosts overall efficiency by <strong>24%</strong>, giving you <strong>longer battery life</strong> and <strong>cleaner hits</strong> with every load.<br><strong>Key Benefits:</strong><br>• Compatible with Puffco Peak OG<br>• 3D Ceramic Wall Heating<br>• Faster heat-up, smoother vapor, and longer sessions<br>• Built for flavor chasers and cloud lovers alike</p>",Dab Labs,Chambers,"Chambers, Peak OG",TRUE,,,,200,shopify,10,deny,69.99,TRUE,TRUE,"https://static.wixstatic.com/media/09e6d7_fad65e6ff80f4b0fbf2ffd0d1b7b331e~mv2.png/v1/fill/w_800,h_800,al_c,q_85/09e6d7_fad65e6ff80f4b0fbf2ffd0d1b7b331e~mv2.png",1,Voozer 3D Chamber Kit – OG Peak,Chambers;Peak OG
voozer-3d-chamber-kit-og-peak,,,,,,,,,,,,,,,,,"https://static.wixstatic.com/media/09e6d7_353ac1c6635347279349f2ba361e126d~mv2.png/v1/fill/w_800,h_800,al_c,q_85/09e6d7_353ac1c6635347279349f2ba361e126d~mv2.png",2,Voozer 3D Chamber Kit – OG Peak,
voozer-3d-chamber-kit-og-peak,,,,,,,,,,,,,,,,,"https://static.wixstatic.com/media/09e6d7_474db309f4754f33832fbe16b35c6465~mv2.png/v1/fill/w_800,h_800,al_c,q_85/09e6d7_474db309f4754f33832fbe16b35c6465~mv2.png",3,Voozer 3D Chamber Kit – OG Peak,
voozer-3dxl-chamber-proxy-kit,Voozer 3DXL Chamber Proxy  Kit,"<p><strong>VOOZR Proxy 3DXL&nbsp;Chamber – XL Ceramic Innovation with Joystick Control</strong><br><strong>Precision Vapor. Enhanced Flavor. XL Performance.</strong></p><p>Unlock the next generation of terp perfection with the <strong>VOOZR Proxy 3DXL&nbsp;Chamber</strong> — a revolutionary ceramic upgrade for the <strong>Puffco Proxy</strong> that redefines how vapor is created, controlled, and consumed.<br>This never made by Puffco. Just designed&nbsp;to take your Proxy to the next level.</p>",Dab Labs,Chambers,"Chambers, Proxy",TRUE,,,,200,shopify,10,deny,109.99,TRUE,TRUE,"https://static.wixstatic.com/media/09e6d7_90f3ecee39164ed4ae92998874446227~mv2.png/v1/fill/w_800,h_800,al_c,q_85/09e6d7_90f3ecee39164ed4ae92998874446227~mv2.png",1,Voozer 3DXL Chamber Proxy  Kit,Chambers;Proxy
voozer-3dxl-chamber-proxy-kit,,,,,,,,,,,,,,,,,"https://static.wixstatic.com/media/09e6d7_fd6b8936ba01421a867cee0646fab7e8~mv2.png/v1/fill/w_800,h_800,al_c,q_85/09e6d7_fd6b8936ba01421a867cee0646fab7e8~mv2.png",2,Voozer 3DXL Chamber Proxy  Kit,
voozer-3dxl-chamber-proxy-kit,,,,,,,,,,,,,,,,,"https://static.wixstatic.com/media/09e6d7_d02d3baf8e5f456d980533e0ad68e99d~mv2.png/v1/fill/w_800,h_800,al_c,q_85/09e6d7_d02d3baf8e5f456d980533e0ad68e99d~mv2.png",3,Voozer 3DXL Chamber Proxy  Kit,
voozer-3dxl-chamber-kit-peak-pro,Voozer 3DXL Chamber Kit – Peak Pro,"<p><strong>Bigger Bowl. Bolder Rips. Smarter Control.</strong></p><p>Step into the future of dabbing with the <strong>Voozer 3DXL Chamber</strong>, the ultimate ceramic chamber upgrade for your <strong>Puffco Peak Pro</strong>. Engineered as the world’s <strong>first high-capacity e-rig chamber</strong>, this beast is built to deliver <strong>2X the vapor</strong>, <strong>78% more bowl space</strong>, and an elite level of flavor retention and airflow precision.<br>Complete Kit Includes:<br>• 3DXL Ceramic Chamber<br>• XL Joystick Cap<br>• Silicone Tether + Stopper<br>• 4 Interchangeable Joystick Control Valves<br>• Stylish Three-Color Silicone Ring for a custom finish<br>Compatible with the Puffco Peak Pro</p>",Dab Labs,Chambers,"Chambers, Peak Pro",TRUE,,,,200,shopify,10,deny,149.99,TRUE,TRUE,"https://static.wixstatic.com/media/09e6d7_16a848c115b949cc8fa5c4b54007e736~mv2.png/v1/fill/w_800,h_800,al_c,q_85/09e6d7_16a848c115b949cc8fa5c4b54007e736~mv2.png",1,Voozer 3DXL Chamber Kit – Peak Pro,Chambers;Peak Pro
voozer-3dxl-chamber-kit-peak-pro,,,,,,,,,,,,,,,,,"https://static.wixstatic.com/media/09e6d7_514ed1b4839e43eea8c561f8e3ee93b1~mv2.png/v1/fill/w_800,h_800,al_c,q_85/09e6d7_514ed1b4839e43eea8c561f8e3ee93b1~mv2.png",2,Voozer 3DXL Chamber Kit – Peak Pro,
voozer-3dxl-chamber-kit-peak-pro,,,,,,,,,,,,,,,,,"https://static.wixstatic.com/media/09e6d7_8ac62707a86746da8f9bf607fc10fbea~mv2.png/v1/fill/w_800,h_800,al_c,q_85/09e6d7_8ac62707a86746da8f9bf607fc10fbea~mv2.png",3,Voozer 3DXL Chamber Kit – Peak Pro,
frosted-yoshi-egg-attachment-triple-perc-dino,Frosted Yoshi Egg Attachment – Triple Perc Dino,"<p>Level up your sessions with the <strong>Frosted Yoshi Egg</strong> – a playful yet powerful Puffco attachment that combines nostalgic design with high-performance function. Designed to fit both the <strong>Puffco Peak OG</strong> and <strong>Peak Pro</strong>, this frosted glass masterpiece delivers smooth, satisfying hits wrapped in a dino-inspired form.<br>&nbsp;</p><p><strong>Three-Hole Dino Perc System</strong><br>Hidden within the belly of the Yoshi-style egg lies a <strong>three-hole percolator</strong>, engineered for maximum bubble production and ultra-smooth filtration. Every pull erupts with milky diffusion and flavorful vapor.</p><p><strong>Frosted Finish &amp; Thick Glass Body</strong><br>Crafted from durable, <strong>thick-walled borosilicate glass</strong>, the outer shell features a soft <strong>frosted finish</strong> for a refined look and grippy feel. It’s as tough as it is stylish.<br>&nbsp;</p><p><strong>Perfect Puffco Fit</strong><br>• Compatible with <strong>Puffco Peak OG &amp; Pro</strong><br>• Snug, stable connection with flawless airflow<br>• Easy to clean and built to last</p>",Dab Labs,Glass Tops,"Glass Tops, Limited Edition, Peak OG, Peak Pro, Limited Edition",TRUE,Colour,Blue,,200,shopify,10,deny,349.99,TRUE,TRUE,"https://static.wixstatic.com/media/09e6d7_8ca43fd58ac8430d823cf39dd84485f9~mv2.png/v1/fill/w_800,h_800,al_c,q_85/09e6d7_8ca43fd58ac8430d823cf39dd84485f9~mv2.png",1,Frosted Yoshi Egg Attachment – Triple Perc Dino,Glass Tops;Limited Edition;Peak OG;Peak Pro
frosted-yoshi-egg-attachment-triple-perc-dino,,,Dab Labs,Glass Tops,"Glass Tops, Limited Edition, Peak OG, Peak Pro, Limited Edition",TRUE,Colour,Green,,200,shopify,10,deny,349.99,TRUE,TRUE,,,,Glass Tops;Limited Edition;Peak OG;Peak Pro
frosted-yoshi-egg-attachment-triple-perc-dino,,,Dab Labs,Glass Tops,"Glass Tops, Limited Edition, Peak OG, Peak Pro, Limited Edition",TRUE,Colour,Purple,,200,shopify,10,deny,349.99,TRUE,TRUE,,,,Glass Tops;Limited Edition;Peak OG;Peak Pro
wigwag-dry-top-encased-opal,WigWag Dry Top – Encased Opal,"<p>Designed for both the <strong>Puffco Peak OG and Pro</strong>, this dry attachment offers unmatched style and airflow with a minimalist feel.</p><p><strong>Hand-Spun US WigWag Colors</strong><br>Crafted with premium borosilicate glass using classic American wigwag techniques, each piece showcases vivid, high-contrast color lines that ripple like lava through the glass — no two are the same.</p><p><strong>Encased Natural Opal Accent</strong><br>Embedded within the crown of the attachment lies a <strong>genuine opal</strong>—an eye-catching gem that catches the light and elevates your rig to a work of art.<br>&nbsp;</p><p><strong>Dry Chamber Design</strong><br>• No water needed — perfect for on-the-go sessions<br>• Preserves full flavor and terp profile with smooth airflow<br>• Lightweight, easy to clean, and fits securely on Puffco Peak OG &amp; Pro</p>",Dab Labs,Glass Tops,"Glass Tops, Peak OG, Peak Pro",TRUE,Colour,Yellow,,200,shopify,10,deny,99.99,TRUE,TRUE,"https://static.wixstatic.com/media/09e6d7_d655ccdac3c14835b72a1caeac324771~mv2.png/v1/fill/w_800,h_800,al_c,q_85/09e6d7_d655ccdac3c14835b72a1caeac324771~mv2.png",1,WigWag Dry Top – Encased Opal,Glass Tops;Peak OG;Peak Pro
wigwag-dry-top-encased-opal,,,Dab Labs,Glass Tops,"Glass Tops, Peak OG, Peak Pro",TRUE,Colour,Clear Yellow,,200,shopify,10,deny,99.99,TRUE,TRUE,,,,Glass Tops;Peak OG;Peak Pro
wigwag-dry-top-encased-opal,,,Dab Labs,Glass Tops,"Glass Tops, Peak OG, Peak Pro",TRUE,Colour,Blue,,200,shopify,10,deny,99.99,TRUE,TRUE,,,,Glass Tops;Peak OG;Peak Pro
wigwag-dry-top-encased-opal,,,Dab Labs,Glass Tops,"Glass Tops, Peak OG, Peak Pro",TRUE,Colour,Red,,200,shopify,10,deny,99.99,TRUE,TRUE,,,,Glass Tops;Peak OG;Peak Pro
wigwag-dry-top-encased-opal,,,Dab Labs,Glass Tops,"Glass Tops, Peak OG, Peak Pro",TRUE,Colour,Orange,,200,shopify,10,deny,99.99,TRUE,TRUE,,,,Glass Tops;Peak OG;Peak Pro
kp-cyclone-recycler-swiss-wheel-edition,KP Cyclone Recycler – Swiss Wheel Edition,"<p>Unleash elite vapor engineering with the <strong>KP Cyclone Recycler</strong>, the ultimate 8"" Puffco attachment built to impress both visually and functionally. Designed with precision, this high-performance glass piece features <strong>Dual Cyclone Chambers</strong> and a <strong>Swiss Wheel Tricycler System</strong>, creating a mesmerizing, continuous vortex that cools, cleans, and recycles vapor in real-time.<br>&nbsp;</p><p>Crafted exclusively for Puffco devices, this premium attachment delivers buttery-smooth hits and next-level airflow dynamics. Every draw is a silky, flavor-packed experience, made possible by the intelligent flow mechanics of this Swiss-inspired masterpiece.<br>&nbsp;</p><ul>	<li><strong>Double Cyclone Chambers</strong> – Optimized airflow for smoother, cooler vapor.</li>	<li><strong>Swiss Wheel Tricycler</strong> – Hypnotic water action with constant recycling.</li>	<li><strong>8"" Premium Clear Glass Design</strong> – Clean, minimalist, and proudly engineered for Puffco.<br>	&nbsp;</li></ul>",Dab Labs,Glass Tops,"Glass Tops, Peak OG, Peak Pro",TRUE,,,,200,shopify,10,deny,219.99,TRUE,TRUE,"https://static.wixstatic.com/media/09e6d7_ee6163a8e75b4542b302b80f6ca87072~mv2.png/v1/fill/w_800,h_800,al_c,q_85/09e6d7_ee6163a8e75b4542b302b80f6ca87072~mv2.png",1,KP Cyclone Recycler – Swiss Wheel Edition,Glass Tops;Peak OG;Peak Pro
kp-cyclone-recycler-swiss-wheel-edition,,,,,,,,,,,,,,,,,"https://static.wixstatic.com/media/09e6d7_1e11f0602b90414b8eeecb9c5e677cdd~mv2.png/v1/fill/w_800,h_800,al_c,q_85/09e6d7_1e11f0602b90414b8eeecb9c5e677cdd~mv2.png",2,KP Cyclone Recycler – Swiss Wheel Edition,
